"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","377",".blur() - blur off a DOM element","Actions","2026-03-14","passed","2026-03-14","","","",""
"","200","cy.request() with query parameters","Network Requests","2026-03-14","passed","2026-03-14","","","",""
"","162","cy.clearCookie() - clear a browser cookie","Cookies","2026-03-14","passed","2026-03-14","","","",""
"","75","yields the original subject without return","Connectors","2026-03-14","passed","2026-03-14","",".then()","",""
"","396",".submit() - submit a form","Actions","2026-03-14","passed","2026-03-14","","","",""
"","117",".focus() - focus on a DOM element","Actions","2026-03-14","passed","2026-03-14","","","",""
"","1911",".click() - click on a DOM element","Actions","2026-03-14","passed","2026-03-14","","","",""
"","232","cy.tick() - move time in the browser","Spies, Stubs, and Clock","2026-03-14","passed","2026-03-14","","","",""
"","83","cy.fixture() or require - load a fixture","Files","2026-03-14","passed","2026-03-14","","","",""
"","86",".within() - query DOM elements within a specific element","Querying","2026-03-14","passed","2026-03-14","","","",""
"","253","can filter for uncompleted tasks","example to-do app","2026-03-14","passed","2026-03-14","","with a checked task","",""
"","266","cy.request() - verify response using BDD syntax","Network Requests","2026-03-14","passed","2026-03-14","","","",""
"","223","cy.writeFile() - write to a file","Files","2026-03-14","passed","2026-03-14","","","",""
"","2522","cy.spy() retries until assertions pass","Spies, Stubs, and Clock","2026-03-14","passed","2026-03-14","","","",""
"","175","cy.getCookies() - get browser cookies for the current domain","Cookies","2026-03-14","passed","2026-03-14","","","",""
"","101","cy.contains() - query DOM elements with matching content","Querying","2026-03-14","passed","2026-03-14","","","",""
"","80","matches unknown text between two elements","Assertions","2026-03-14","passed","2026-03-14","","Explicit Assertions","",""
"","70","Get underlying OS name","Cypress APIs","2026-03-14","passed","2026-03-14","","Cypress.platform","",""
"","95",".its() - get properties on the current subject","Connectors","2026-03-14","passed","2026-03-14","","","",""
"","171",".add() - create a custom command","Cypress APIs","2026-03-14","passed","2026-03-14","","Cypress.Commands","",""
"","86","Get and set configuration options","Cypress APIs","2026-03-14","passed","2026-03-14","","Cypress.config()","",""
"","279","cy.visit() - visit a remote url","Navigation","2026-03-14","passed","2026-03-14","","","",""
"","77","cy.stub() - create a stub and/or replace a function with stub","Spies, Stubs, and Clock","2026-03-14","passed","2026-03-14","","","",""
"","1567","retries the should callback until assertions pass","Assertions","2026-03-14","passed","2026-03-14","","Explicit Assertions","",""
"","281",".as() - alias a DOM element for later use","Aliasing","2026-03-14","passed","2026-03-14","","","",""
"","71","Get current version of Cypress being run","Cypress APIs","2026-03-14","passed","2026-03-14","","Cypress.version","",""
"","757","cy.screenshot() - take a screenshot","Misc","2026-03-14","passed","2026-03-14","","Cypress.Screenshot","",""
"","79","cy.document() - get the document object","Window","2026-03-14","passed","2026-03-14","","","",""
"","229","cy.hash() - get the current URL hash","Location","2026-03-14","passed","2026-03-14","","","",""
"","773","cy.go() - go back or forward in the browser's history","Navigation","2026-03-14","passed","2026-03-14","","","",""
"","94","cy.location() - get window.location","Location","2026-03-14","passed","2026-03-14","","","",""
"","74","yields the returned value to the next command","Connectors","2026-03-14","passed","2026-03-14","",".then()","",""
"","248","cy.wait() - wait for a specific route","Waiting","2026-03-14","passed","2026-03-14","","","",""
"","311","cy.request() - save response in the shared test context","Network Requests","2026-03-14","passed","2026-03-14","","","",""
"","530","displays two todo items by default","example to-do app","2026-03-14","passed","2026-03-14","","","",""
"","108","cy.getAllCookies() - get all browser cookies","Cookies","2026-03-14","passed","2026-03-14","","","",""
"","83",".nextAll() - get all next sibling DOM elements","Traversal","2026-03-14","passed","2026-03-14","","","",""
"","324","cy.reload() - reload the page","Navigation","2026-03-14","passed","2026-03-14","","","",""
"","4404","cy.wait() - wait for a specific amount of time","Waiting","2026-03-14","passed","2026-03-14","","","",""
"","91",".closest() - get closest ancestor DOM element","Traversal","2026-03-14","passed","2026-03-14","","","",""
"","84","invokes a callback function with the current subject","Connectors","2026-03-14","passed","2026-03-14","",".then()","",""
"","399","can add new todo items","example to-do app","2026-03-14","passed","2026-03-14","","","",""
"","431","cy.clearLocalStorage() - clear all data in localStorage for the current origin","Local Storage / Session Storage","2026-03-14","passed","2026-03-14","","","",""
"","562",".as() - alias a route for later use","Aliasing","2026-03-14","passed","2026-03-14","","","",""
"","90",".filter() - get DOM elements that match the selector","Traversal","2026-03-14","passed","2026-03-14","","","",""
"","84","pass your own callback function to should()","Assertions","2026-03-14","passed","2026-03-14","","Explicit Assertions","",""
"","192",".children() - get child DOM elements","Traversal","2026-03-14","passed","2026-03-14","","","",""
"","172","cy.clock() - control time in the browser","Spies, Stubs, and Clock","2026-03-14","passed","2026-03-14","","","",""
"","75",".last() - get last DOM element","Traversal","2026-03-14","passed","2026-03-14","","","",""
"","3622",".type() - type into a DOM element","Actions","2026-03-14","passed","2026-03-14","","","",""
"","87",".find() - get descendant DOM elements of the selector","Traversal","2026-03-14","passed","2026-03-14","","","",""
"","80","finds element by class name regex","Assertions","2026-03-14","passed","2026-03-14","","Explicit Assertions","",""
"","78",".first() - get first DOM element","Traversal","2026-03-14","passed","2026-03-14","","","",""
"","153","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","Local Storage / Session Storage","2026-03-14","passed","2026-03-14","","","",""
"","148","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","Local Storage / Session Storage","2026-03-14","passed","2026-03-14","","","",""
"","85","cy.url() - get the current URL","Location","2026-03-14","passed","2026-03-14","","","",""
"","296","Cypress.Blob - blob utilities and base64 string conversion","Utilities","2026-03-14","passed","2026-03-14","","","",""
"","77",".prevUntil() - get all previous sibling DOM elements until el","Traversal","2026-03-14","passed","2026-03-14","","","",""
"","81",".nextUntil() - get next sibling DOM elements until next el","Traversal","2026-03-14","passed","2026-03-14","","","",""
"","278","can delete all completed tasks","example to-do app","2026-03-14","passed","2026-03-14","","with a checked task","",""
"","800",".uncheck() - uncheck a checkbox element","Actions","2026-03-14","passed","2026-03-14","","","",""
"","2137","cy.scrollTo() - scroll the window or element to a position","Actions","2026-03-14","passed","2026-03-14","","","",""
